training iterations,perplexity,perplexity POS
500,13506.9697265625,10.700687408447266
1000,5796.16162109375,18.123001098632812
1500,4748.19482421875,25.75650405883789
2000,4170.7705078125,34.40591812133789
2500,3828.0810546875,50.4074592590332
3000,3320.084716796875,40.02978515625
3500,2205.518310546875,54.619571685791016
4000,2033.404052734375,120.661865234375
4500,2026.66357421875,44.49809646606445
5000,1555.09814453125,67.11742401123047
5500,1602.4765625,75.90478515625
6000,1819.5184326171875,148.26626586914062
6500,1748.7091064453125,73.42103576660156
7000,1593.4915771484375,276.8932189941406
7500,1373.691650390625,75.591064453125
8000,1953.26904296875,65.12969970703125
8500,1402.592529296875,60.30950164794922
9000,1510.549560546875,61.55592346191406
9500,2068.353515625,647.481689453125
10000,1557.632080078125,165.31622314453125
10500,1695.9608154296875,162.30494689941406
